Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm)
Cassia marksiana,tree,0,1,compound,no,deciduous,731,,,25,20,90,15,40,7,8,5,5,3
Cassia queenslandica,tree,0,1,compound,no,evergreen,,630,637,15,20,80,15,40,5,7,5,7,4
Cassia Paluma-Range,tree,0,1,compound,no,evergreen,,,,18,25,90,20,37,5,7,4,6,4
Castanospermum australe,tree,0,1,compound,no,evergreen,583,583,567,35,50,200,20,50,30,50,30,50,30
Cathormion umbellatum-moniliforme,tree,1,1,compound,no,deciduous,,,523,24,6,50,3,30,11,13,8,10,3
Crudia papuana,tree,0,1,compound,no,evergreen,,,637,10,40,180,16,55,45,75,35,50,5
Cynometra iripa,tree,0,1,compound,no,evergreen,,,,8,15,100,10,55,25,29,10,12,10
Cynometra ramiflora,tree,0,1,compound,no,evergreen,,,637,26,12,200,25,75,30,35,18,20,
Dalbergia candenatensis,tree,0,1,compound,no,evergreen,,,,5,7,52,6,34,18,23,6,8,3
Dalbergia densa-australis,shrub,0,1,compound,no,evergreen,,,,4,15,50,5,25,7,8,6,7,3
Dalbergia densa-densa,shrub,0,1,compound,no,evergreen,,,,5,15,45,8,18,14,17,6,8,3
Dendrolobium arbuscula,tree,0,1,compound,no,evergreen,,,567,6,10,80,10,50,3,5,3,5,
Dendrolobium umbellatum,shrub,0,1,compound,no,evergreen,,,567,8,35,140,20,70,3,4,3,4,
Desmodium acanthocladum,shrub,1,0,compound,no,evergreen,,,,2,5,25,3,8,3,4,2,3,2
Desmodium heterocarpon var. strigosum,shrub,1,0,compound,no,evergreen,,,567,1.5,18,46,10,13,1,2,1,1,
Desmodium nemorosum,shrub,1,0,compound,no,evergreen,,,567,1,20,65,15,45,4,5,1,2,1
Desmodium tenax,shrub,1,0,compound,no,evergreen,,,567,2,33,130,14,70,3,4,2,3,
Erythrina Croftby,tree,0,1,compound,yes,deciduous,215,,,30,50,80,50,90,7,8,5,6,4
Erythrina insularis,tree,0,1,compound,no,deciduous,,,,12,35,110,30,125,8,10,6,9,
Erythrina variegata,tree,0,1,compound,no,deciduous,,,567,25,80,200,65,210,14,19,6,9,
Erythrina vespertilio,tree,1,1,compound,yes,deciduous,,,567,30,20,135,40,155,10,18,7,9,6
Erythrophleum chlorostachys,tree,0,1,compound,no,evergreen,,,637,15,20,85,10,80,10,10,10,10,3
Goodia lotifolia,shrub,0,0,compound,no,evergreen,,,,4,8,30,5,20,3,4,3,4,2
Intsia bijuga,tree,0,1,compound,no,evergreen,645,645,637,30,50,160,30,130,22,35,20,32,4
Labichea nitida,shrub,1,0,simple,no,deciduous,,,637,2,5,45,2,13,4,6,4,6,
Lysiphyllum binatum,tree,1,1,compound,no,deciduous,,,,7,15,45,10,45,8,11,6,8,4
Lysiphyllum carronii,tree,0,1,compound,no,deciduous,,,,10,15,35,8,20,15,30,15,30,4
Lysiphyllum cunninghamii,tree,0,1,compound,no,deciduous,,,637,12,13,40,10,30,10,13,8,10,3
Lysiphyllum hookeri,tree,0,1,compound,no,evergreen,,,637,12,15,50,10,32,10,15,8,10,3
Maniltoa lenticellata,tree,0,1,compound,no,evergreen,,,637,22,25,125,10,55,35,48,20,30,8
Millettia McIlwraith,tree,0,1,compound,no,deciduous,,550,567,20,35,120,20,46,10,18,9,11,
Millettia pinnata,tree,0,1,compound,no,deciduous,550,550,567,20,50,230,40,130,12,22,15,17,3
Ormosia ormondii,tree,0,1,compound,no,evergreen,,,567,25,25,210,28,80,10,14,8,10,8
Pararchidendron pruinosum,tree,1,1,compound,no,deciduous,500,500,523,20,20,110,13,50,4,8,5,6,
Paraserianthes toona,tree,1,1,compound,no,deciduous,580,580,523,30,3,10,1,1,8,10,7,9,3
Peltophorum pterocarpum,tree,1,1,compound,no,deciduous,,,,15,12,20,6,9,7,9,4,5,3
Senna acclinis,shrub,0,1,compound,no,evergreen,,,,2,12,50,8,16,4,6,3,5,3
Senna barclayana,shrub,0,1,compound,no,evergreen,,,,2,15,65,4,15,3,3,3,3,
Senna clavigera,shrub,1,1,compound,no,evergreen,,,637,1.5,30,70,7,20,3,4,3,4,
Senna coronilloides,shrub,1,1,compound,no,evergreen,,,637,3,8,25,2,8,3,4,3,3,
Senna gaudichaudii,shrub,1,1,compound,no,evergreen,,,637,11,10,60,7,30,4,6,3,4,3
Senna sophera,shrub,1,1,compound,no,evergreen,,,,2,20,65,6,12,4,5,3,4,3
Senna sulfurea,tree,1,1,compound,no,evergreen,,,,11,40,130,16,50,6,6,6,6,3
Senna surattensis,tree,1,1,compound,no,evergreen,,,,10,25,45,12,20,4,6,3,5,3
Senna timorensis,tree,1,1,compound,no,evergreen,,,,6,30,40,10,13,5,6,4,5,2
Sesbania cannabina,shrub,1,0,compound,no,evergreen,,,567,3.5,3,22,1,5,3,4,1,2,
Sesbania formosa,shrub,1,1,compound,no,evergreen,,,,5,20,30,5,11,7,9,4,5,3
Sophora fraseri,shrub,0,1,compound,no,evergreen,,,,2,10,20,4,10,4,6,4,6,3
Sophora tomentosa,tree,1,1,compound,no,evergreen,,,567,5,22,60,12,40,6,9,5,8,
Vitex acuminata,tree,1,1,compound,no,deciduous,,595,519,23,40,170,20,66,4,10,2,6,
Vitex helogiton,tree,1,0,compound,no,evergreen,,595,519,20,30,170,15,70,6,15,4,8,
Vitex melicopea,tree,1,0,compound,no,evergreen,490,595,519,30,30,160,15,60,3,5,3,5,
Vitex trifolia-trifolia,tree,1,0,simple,no,evergreen,,595,519,7,25,120,15,40,3,4,3,3,
Vitex queenslandica,tree,1,0,compound,no,deciduous,,,519,35,60,130,30,45,5,6,3,5,
Adansonia gregorii,tree,0,1,compound,no,deciduous,,,,15,65,120,25,45,10,11,7,8,
Argyrodendron actinophyllum_diversifolium,tree,1,1,compound,no,evergreen,631,691,426,47,70,200,20,80,5,8,5,8,
Argyrodendron actinophyllum_actinophyllum,tree,1,1,compound,no,evergreen,705.2,,,45,100,180,15,50,5,7,4,5,
Argyrodendron Boonjee,tree,1,1,compound,no,evergreen,,691,426,20,50,200,20,40,5,6,5,6,
Argyrodendron Karnak,tree,0,1,compound,no,evergreen,,691,426,25,65,180,25,80,10,11,10,10,
Argyrodendron KinKin,tree,1,1,compound,no,evergreen,,,,45,60,145,20,60,5,7,5,7,
Argyrodendron MtHaig,tree,0,1,compound,no,evergreen,,691,426,30,55,150,15,30,8,10,8,10,
Argyrodendron peralatum,tree,1,1,compound,no,evergreen,620,691,426,35,70,175,20,50,12,14,12,14,
Argyrodendron polyandrum,tree,1,1,compound,no,evergreen,,691,426,45,50,120,10,50,5,8,5,8,
Argyrodendron trifoliolatum,tree,1,0,compound,no,evergreen,735,691,426,45,60,145,20,60,5,7,5,7,
Argyrodendron Whitsundays,tree,1,0,compound,no,evergreen,,,,20,60,200,20,90,8,10,8,10,
Argyrodendron Whyanbeel,tree,0,1,compound,no,evergreen,,691,426,25,115,370,50,135,8,10,8,10,
Bombax ceiba_leiocarpum,tree,1,0,compound,no,deciduous,,,,25,60,220,35,85,5,5,3,3,
Aglaia argentea,tree,0,1,compound,no,evergreen,,,537,15,110,270,37,100,22,30,10,15,10
Aglaia australiensis,tree,0,1,compound,no,evergreen,,,537,10,70,190,50,95,20,42,12,18,10
Aglaia brassii,tree,0,1,compound,no,evergreen,,,537,20,75,180,20,60,12,22,10,15,8
Aglaia brownii,tree,0,1,compound,no,evergreen,,,537,12,50,125,33,60,10,16,10,13,8
Aglaia elaeagnoidea,tree,1,1,compound,no,evergreen,,,537,20,20,160,10,60,8,12,7,9,
Aglaia euryanthera,tree,1,1,compound,no,evergreen,,,537,12,70,260,30,100,8,25,7,13,
Aglaia meridionalis,tree,0,1,compound,no,evergreen,,,537,10,50,280,20,80,15,30,10,13,
Aglaia sapindina,tree,0,1,compound,no,evergreen,,,537,15,70,260,30,135,12,15,7,8,
Aglaia Silver-Plains,shrub,0,1,compound,no,evergreen,,,537,3,50,95,18,35,12,15,9,10,
Aglaia silvestris,tree,0,1,compound,no,evergreen,,,,30,70,240,17,65,16,18,9,10,8
Aglaia spectabilis,tree,0,1,compound,no,evergreen,,,537,40,80,400,30,170,50,60,20,22,16
Aglaia tomentosa,tree,0,1,compound,no,evergreen,,,537,8,30,320,20,110,15,18,8,12,5
Anthocarapa nitidula,tree,0,1,compound,no,evergreen,640,640,537,30,50,160,25,60,18,20,12,14,8
Chisocheton longistipitatus,tree,0,1,compound,no,evergreen,,,537,40,90,320,40,130,25,30,10,12,
Dysoxylum actutangulatum,tree,0,1,compound,no,evergreen,,,,37,40,150,15,65,20,20,10,12,
Dysoxylum alliaceum,tree,0,1,compound,no,evergreen,,613,537,38,75,250,25,110,20,27,20,22,
Dysoxylum arborescens,tree,0,1,compound,no,evergreen,,613,537,25,50,190,20,70,12,22,10,12,
Dysoxylum Deepwater,,1,1,compound,no,evergreen,619.2,,,45,50,100,20,40,,7,,7,
Dysoxylum latifolium,tree,0,1,compound,no,evergreen,,613,537,30,30,160,10,90,20,36,12,14,9
Dysoxylum mollissimum,tree,1,1,compound,no,evergreen,,613,537,35,60,160,25,60,8,12,5,6,
Dysoxylum oppositifolium,tree,0,1,compound,no,evergreen,690,613,537,30,60,220,30,80,16,20,12,14,6
Dysoxylum papuanum,tree,0,1,compound,no,evergreen,590,613,537,40,80,130,20,50,12,15,7,8,
Dysoxylum parasiticum,tree,0,1,compound,no,evergreen,,613,537,27,40,250,30,80,15,18,7,8,
Dysoxylum pettigrewianum,tree,0,1,compound,no,evergreen,690,613,537,35,50,270,25,80,20,24,9,10,
Dysoxylum pumilum,tree,0,1,compound,no,evergreen,,613,537,8,80,300,40,125,35,45,12,16,
Dysoxylum rufum,tree,0,1,compound,no,evergreen,,613,537,30,50,240,20,50,8,8,6,7,
Dysoxylum setosum,tree,1,1,compound,no,evergreen,,613,537,30,60,280,40,100,12,15,6,8,5
Melia azedarach,tree,1,0,compound,no,deciduous,380,380,537,45,20,70,10,30,6,7,4,5,
Owenia acidula,tree,1,1,compound,no,evergreen,,,,10,10,50,3,8,10,15,8,10,
Owenia cepiodora,tree,1,1,compound,no,evergreen,430,,,40,70,140,15,35,7,12,5,8,
Owenia venosa,tree,0,1,compound,no,evergreen,,,,20,40,80,10,25,12,15,6,10,
Owenia Xreliqua,tree,0,1,compound,no,evergreen,,,,20,40,80,10,25,12,15,6,10,
Synoum glandulosum_paniculosum,tree,0,1,compound,no,evergreen,513,513,537,20,30,120,20,50,11,17,7,8,
Synoum glandulosum_glandulosum,tree,0,1,compound,no,evergreen,513,513,537,20,30,120,20,50,11,17,7,8,
Toona ciliata,tree,0,1,compound,no,deciduous,389,389,537,45,40,150,20,50,4,5,2,2,
Xylocarpus granatum,tree,0,1,compound,no,evergreen,,,,25,40,150,30,70,40,90,35,45,20
Xylocarpus moluccensis,tree,0,1,compound,no,deciduous,,,,30,35,170,20,75,40,65,30,40,20
Jasminum didymum (complex),shrub,1,1,compound,no,evergreen,,,,3,20,100,15,65,5,7,3,4,
Jasminum lineare,shrub,1,0,compound,no,evergreen,,,,2,20,120,6,15,4,6,3,4,
Alloxylon pinnatum,tree,0,1,simple,no,evergreen,,,,24,80,150,10,30,5,8,3,5,2
Austromuellera trinervia,tree,0,1,compound,no,evergreen,560,560,573,18,75,190,12,60,40,50,25,30,3
Austromuellera valida,tree,0,1,simple,yes,evergreen,,560,573,20,70,120,40,80,25,35,20,25,3
Cardwellia sublimis,tree,0,1,compound,no,evergreen,436,436,573,35,70,210,40,85,40,60,15,20,2
Carnarvonia araliifolia-araliifolia,tree,0,1,compound,no,evergreen,560,560,573,30,45,200,15,120,10,14,8,11,4
Gevuina bleasdalei,tree,0,1,simple,no,evergreen,,,573,24,30,200,15,55,12,20,10,16,
Grevillea pteridifolia,shrub,0,1,simple,yes,evergreen,,672,573,14,50,250,1,3,7,8,5,6,2
Grevillea robusta,tree,0,1,compound,yes,deciduous,516,,,35,5,50,2,10,11,15,4,5,3
Lomatia fraxinifolia,tree,1,1,simple,no,evergreen,760,720,573,25,30,200,15,40,5,12,5,7,4
Lomatia tasmanica,tree,0,0,compound,yes,evergreen,,,,8,25,35,8,15,,,,,
Opisthiolepis heterophylla,tree,0,1,simple,yes,evergreen,463,463,573,30,60,210,20,105,40,40,20,20,2
Sphalmium racemosum,tree,0,1,simple,no,evergreen,,,573,30,60,200,15,40,12,15,7,9,2
Stenocarpus cryptocarpus,tree,0,1,simple,yes,evergreen,,673,573,25,75,170,25,70,9,11,6,8,2
Stenocarpus davallioides,tree,0,1,simple,yes,evergreen,,673,573,40,50,130,10,30,2,3,2,3,
Acradenia euodiiformis,tree,1,0,compound,no,evergreen,769.7,,,30,50,180,35,70,1,2,1,2,
Acradenia franklinae,tree,1,0,compound,no,evergreen,,,,10,20,70,10,30,1,2,1,2,
Acronychia acronychioides,tree,1,0,compound,no,evergreen,510,555,659,25,55,210,23,65,4,4,2,3,
Acronychia Batavia-Downs,tree,1,0,simple,no,evergreen,,555,659,20,40,115,15,50,2,4,2,3,
Acronychia chooreechillum,tree,1,0,simple,no,evergreen,,555,659,18,25,115,10,58,4,4,2,3,
Acronychia octandra,tree,1,0,compound,no,evergreen,455.8,,,45,80,220,20,80,1,2,1,1,
Acronychia pubescens,tree,0,1,compound,no,evergreen,537.5,,,25,55,220,18,77,4,5,4,4,
Acronychia suberosa,tree,1,1,compound,no,evergreen,537.5,,,40,35,100,9,30,4,4,3,4,
Boronia alulata,shrub,1,0,compound,no,evergreen,,,659,3,5,10,1,3,3,3,2,3,
Bosistoa floydii,tree,1,0,compound,no,evergreen,,,,20,65,160,15,35,5,6,4,4,
Bosistoa pentacocca,tree,1,1,compound,no,evergreen,653.6,,,20,90,270,15,70,10,12,10,10,
Bosistoa pentacocca var connaricarpa,tree,1,1,compound,no,evergreen,,,,16,45,270,15,90,15,20,10,12,
Bouchardatia neurococca,tree,1,0,compound,no,evergreen,,,,15,55,120,10,50,5,8,4,5,4
Clausena brevistyla,tree,1,1,compound,no,evergreen,,,659,8,30,130,10,45,9,12,7,9,
Clausena smyrelliana,tree,1,0,compound,no,evergreen,,,,8,20,100,8,35,7,8,5,6,
Euodia pubifolia,shrub,1,0,simple,no,evergreen,,534,659,8,50,150,25,50,4,4,2,3,
Flindersia acuminata,tree,0,1,compound,no,evergreen,,598,659,40,50,150,13,48,20,23,7,10,2
Flindersia australis,tree,0,1,compound,no,deciduous,817,,,45,50,130,20,43,8,9,5,6,3
Flindersia bennettiana,tree,0,1,compound,no,evergreen,722.4,,,40,60,190,17,80,7,9,4,6,3
Flindersia bourjotiana,tree,0,1,compound,no,evergreen,,598,659,35,55,190,15,48,20,24,8,10,2
Flindersia brassii,tree,0,1,compound,no,evergreen,,598,659,30,40,80,15,40,25,30,7,9,2
Flindersia brayleyana,tree,0,1,compound,no,evergreen,,598,659,35,60,210,28,80,25,30,7,9,2
Flindersia collina,tree,0,1,simple,no,evergreen,,598,659,25,20,90,10,47,8,12,5,6,2
Flindersia ifflaiana,tree,0,1,compound,no,evergreen,,598,659,35,50,135,20,58,12,14,7,9,2
Flindersia laevicarpa-laevicarpa,tree,0,1,compound,no,evergreen,,598,659,20,70,130,20,45,10,12,5,7,2
Flindersia oppositifolia,tree,0,1,simple,no,evergreen,,598,659,15,40,120,16,40,14,16,5,7,2
Flindersia pimenteliana,tree,0,1,compound,no,evergreen,,598,659,30,30,160,13,65,20,22,5,6,2
Flindersia xanthoxyla,tree,0,1,compound,no,evergreen,,,,45,50,100,6,32,8,10,5,6,3
Glycosmis trifoliata,shrub,1,0,simple,no,evergreen,,,659,8,40,175,15,65,6,8,2,3,
Harrisonia brownii,shrub,1,0,compound,no,evergreen,,,359,4,40,85,25,45,4,4,4,4,
Medicosma East-Mulgrave,tree,1,0,compound,no,evergreen,,,,8,55,170,20,90,2,3,1,2,
Medicosma Karnak,tree,1,0,compound,no,evergreen,,630,659,7,30,105,15,38,3,3,2,3,
Melicope affinis,tree,1,0,compound,no,evergreen,,,,20,60,100,25,40,2,3,2,3,
Melicope broadbentiana,tree,1,0,simple,no,evergreen,,534,659,9,45,160,15,58,5,6,3,4,
Melicope elleryana,tree,1,0,compound,no,evergreen,500,534,659,35,45,260,25,115,2,7,3,4,
Melicope fellii,tree,1,0,compound,no,evergreen,,,,28,65,135,35,55,5,5,3,4,
Melicope hayesii,tree,1,0,compound,no,evergreen,537.5,,,10,32,95,12,40,3,4,2,3,
Melicope jonesii,tree,1,0,compound,no,evergreen,,534,659,35,100,175,40,90,4,4,2,3,
Melicope micrococca,tree,1,0,compound,no,evergreen,524.6,,,35,25,130,12,50,3,4,3,4,
Melicope peninsularis,tree,1,0,compound,no,evergreen,,534,659,10,45,170,22,75,4,5,3,4,
Melicope rubra,tree,1,0,compound,no,evergreen,,534,659,10,40,150,15,45,4,8,2,3,
Melicope vitiflora,tree,1,0,compound,no,evergreen,470,534,659,40,45,260,20,110,3,5,2,4,
Melicope xanthoxyloides,tree,1,0,simple,no,evergreen,,534,659,21,110,370,45,180,3,3,2,2,
Micromelum minutum,tree,1,0,compound,no,evergreen,,,659,9,20,190,15,70,5,6,4,6,
Murraya ovatifoliolata,tree,1,1,compound,no,evergreen,,,,4,12,30,5,25,6,8,5,7,
Murraya paniculata,tree,1,1,compound,no,evergreen,,,659,8,30,95,25,60,8,9,5,6,
Pentaceras australis,tree,1,1,compound,no,evergreen,636.4,,,40,30,150,7,65,6,9,4,5,2
Zanthoxylum brachyacanthum,tree,1,0,compound,no,evergreen,650,590,659,15,20,130,10,50,5,5,5,5,
Zanthoxylum nitidum,shrub,1,0,compound,no,evergreen,,,,5,50,105,20,48,4,5,4,5,
Zanthoxylum ovalifolium,tree,1,0,compound,no,evergreen,,590,659,6,40,170,25,70,4,5,5,6,
Zanthoxylum parviflorum,tree,1,0,compound,no,evergreen,,,,15,40,80,12,32,5,6,5,6,
Zanthoxylum rhetsa,tree,1,0,compound,no,evergreen,,590,659,20,40,110,20,40,5,6,5,6,
Zanthoxylum veneficum,tree,1,0,compound,no,evergreen,530,590,659,25,30,170,20,75,5,6,5,6,
Zieria alata,shrub,1,0,compound,no,evergreen,,,,3,22,41,7,13,1,2,1,1,
Zieria arborescens,tree,1,0,compound,no,evergreen,,,,10,50,90,6,15,1,2,1,1,
Zieria Binjour,shrub,1,0,compound,no,evergreen,,,,2,10,40,2,4,1,2,1,1,
Zieria Brolga-Park,shrub,1,0,compound,no,evergreen,,,,1,5,30,3,10,1,2,1,1,
Zieria caducibracteata,tree,1,0,compound,no,evergreen,,,,6,40,100,5,15,1,2,1,1,
Zieria collina,shrub,1,0,compound,no,evergreen,,,,3,5,30,2,5,1,2,1,1,
Zieria floydii,shrub,1,0,compound,no,evergreen,,,,2,17,25,2,4,1,2,1,1,
Zieria furfuracea,shrub,1,0,compound,no,evergreen,,,,2,20,60,2,10,1,2,1,1,
Zieria granulata,shrub,1,0,compound,no,evergreen,,,,3,15,45,1,4,1,2,1,1,
Zieria insularis,shrub,1,0,compound,no,evergreen,,,,2,8,21,2,6,1,2,1,1,
Zieria lasiocaulis,tree,1,0,compound,no,evergreen,,,,6,30,70,10,25,1,2,1,1,
Zieria madida,shrub,1,0,compound,no,evergreen,,,,2,15,29,5,14,1,2,1,1,
Zieria minutiflora,shrub,1,0,compound,no,evergreen,,,,1,4,15,2,9,1,2,1,1,
Zieria montana,shrub,1,0,compound,no,evergreen,,,659,4,8,30,4,15,2,3,2,3,
Zieria robertsiorum,shrub,1,0,compound,no,evergreen,,,,0.5,10,16,4,7,2,3,1,2,
Zieria smithii,shrub,1,0,compound,no,evergreen,,,659,2,10,45,4,11,3,3,2,2,
Zieria southwellii,shrub,1,0,compound,no,evergreen,,,,5,40,90,10,30,2,3,1,2,
Alectryon connatus,tree,1,0,simple,no,evergreen,,,661,20,30,150,15,60,4,5,4,5,
Alectryon coriaceus,tree,1,0,compound,no,evergreen,,,,12,40,120,20,70,4,6,4,4,
Alectryon forsythii,tree,1,1,compound,no,evergreen,,,,8,60,70,22,38,5,6,4,5,
Alectryon kimberleyanus,tree,1,1,compound,no,evergreen,,,,7,21,62,17,38,5,6,5,6,
Alectryon ramiflorus,tree,1,0,compound,no,evergreen,,,,15,20,70,6,15,4,6,4,5,
Alectryon repandodentatus,tree,1,1,compound,no,evergreen,,,,10,65,160,45,115,5,6,4,5,
Alectryon reticulatus,tree,1,0,compound,no,evergreen,,,661,10,40,130,25,60,5,5,5,5,
Alectryon semicinereus,tree,1,0,compound,no,evergreen,,,661,15,55,230,25,95,4,5,4,5,
Arytera distylis,tree,1,0,compound,no,evergreen,632.1,,,20,40,80,15,35,7,9,4,5,
Arytera pseudofoveolata,tree,1,1,compound,no,evergreen,,,,25,55,175,20,75,7,8,4,5,
Atalaya oligoclada,shrub,1,1,compound,no,evergreen,,,,3,40,105,10,50,5,7,3,5,
Atalaya sericopetala,tree,1,0,simple,no,evergreen,,680,661,10,45,170,20,85,5,7,4,5,
Atalaya variifolia,shrub,1,1,simple,yes,evergreen,,,,10,70,270,10,55,7,12,5,6,
Castanospora alphandii,tree,0,1,compound,no,evergreen,570,570,661,45,90,240,20,80,17,25,20,30,
Cnesmocarpon dasyantha,tree,1,1,compound,no,evergreen,,,661,25,60,190,20,60,6,8,4,5,
Cupaniopsis baileyana,tree,1,1,compound,no,evergreen,,,,15,40,90,10,25,10,15,8,12,
Cupaniopsis cooperorum,tree,0,1,compound,no,evergreen,,770,661,10,45,170,15,55,12,14,10,12,
Cupaniopsis dallachyi,tree,0,1,compound,no,evergreen,,680,661,25,60,180,30,55,15,25,10,13,
Cupaniopsis diploglottoides,shrub,0,0,compound,no,evergreen,,680,661,6,115,360,60,105,12,15,10,11,
Cupaniopsis flagelliformis,tree,1,1,compound,no,evergreen,,680,661,25,35,200,20,60,12,15,6,8,
Cupaniopsis flagelliformis-australis,tree,1,1,compound,no,evergreen,718.1,,,40,80,160,20,40,8,12,6,10,
Cupaniopsis fleckeri,tree,1,0,compound,no,evergreen,,680,661,9,20,100,13,35,8,9,6,8,
Cupaniopsis foveolata,tree,1,1,compound,no,evergreen,,680,661,25,20,140,14,35,8,10,4,7,
Cupaniopsis newmanii,tree,1,1,compound,no,evergreen,,,,12,60,130,25,50,12,20,7,8,
Cupaniopsis parvifolia,tree,1,0,compound,no,evergreen,,,,25,25,80,10,30,6,9,4,5,
Cupaniopsis serrata,tree,1,1,compound,no,evergreen,,,,9,60,120,10,40,10,12,8,10,7
Cupaniopsis shirleyana,tree,1,1,compound,no,evergreen,,,,6,10,55,5,22,6,8,4,5,
Cupaniopsis simulatus,tree,1,1,compound,no,evergreen,,,,12,60,150,25,55,6,8,4,5,
Cupaniopsis papillosa,tree,0,1,compound,no,evergreen,,,,6,70,175,20,60,20,22,8,11,
Cupaniopsis wadsworthii,tree,1,1,compound,no,evergreen,,,,12,13,75,13,56,10,13,5,6,
Dictyoneura obtusa,tree,1,0,compound,no,evergreen,,,661,13,30,110,10,35,6,8,4,5,
Dimocarpus australianus,tree,0,1,compound,no,evergreen,,,661,20,30,150,15,55,9,10,9,10,
Diploglottis australis,tree,1,1,compound,no,evergreen,597.7,,,45,130,300,40,80,15,20,6,8,
Diploglottis bernieana,tree,0,1,compound,no,evergreen,,655,661,20,90,370,100,200,15,20,15,22,6
Diploglottis bracteata,tree,0,1,compound,no,evergreen,770,655,661,23,55,230,20,65,25,30,30,40,
Diploglottis campbellii,tree,1,1,compound,no,evergreen,,,,20,50,100,20,40,20,20,15,15,12
Diploglottis diphyllostegia,tree,1,1,compound,no,evergreen,,655,661,30,45,230,20,95,7,10,12,14,
Diploglottis harpullioides,tree,0,1,compound,no,evergreen,,655,661,8,80,302,30,110,22,30,20,28,
Diploglottis macrantha,shrub,1,1,compound,no,evergreen,,655,661,6,90,270,40,150,14,18,10,12,7
Diploglottis obovata,tree,1,1,compound,no,evergreen,,,,8,55,165,28,70,10,12,8,10,7
Diploglottis pedleyi,tree,0,1,compound,no,evergreen,,655,661,9,100,340,30,65,30,40,27,35,
Diploglottis smithii,tree,0,1,compound,no,evergreen,,655,661,15,60,260,30,115,12,13,8,10,
Elattostachys megalantha,tree,1,1,compound,no,evergreen,,610,661,10,100,160,35,65,8,9,4,5,
Elattostachys microcarpa,tree,1,0,compound,no,evergreen,,610,661,10,65,145,25,50,5,7,4,5,
Elattostachys nervosa,tree,0,1,compound,no,evergreen,662.2,,,40,80,160,20,40,8,10,5,6,
Elattostachys xylocarpa,tree,1,1,compound,no,evergreen,662.2,,,25,30,80,15,40,6,8,3,4,
Ganophyllum falcatum,tree,1,1,compound,no,evergreen,650,650,661,32,30,100,15,50,6,8,4,6,
Guioa acutifolia,tree,1,0,compound,no,evergreen,,,661,20,55,200,18,70,5,6,4,5,
Guioa lasioneura,tree,1,0,simple,no,evergreen,,,661,15,35,190,15,70,6,8,4,5,
Guioa montana,tree,1,1,compound,no,evergreen,,,661,20,10,100,15,100,5,6,4,5,
Guioa sarcopterifructa,tree,1,1,compound,no,evergreen,,,661,6,28,85,10,30,7,8,4,5,
Guioa semiglauca,tree,1,0,compound,no,evergreen,662.2,,,40,30,100,10,40,5,6,4,6,
Harpullia alata,tree,1,1,compound,no,evergreen,,,,2,50,150,20,50,6,7,4,5,
Harpullia arborea,tree,0,1,simple,no,evergreen,,734,661,45,70,190,40,80,12,15,8,10,
Harpullia frutescens,shrub,1,1,compound,no,evergreen,,734,661,2,75,200,25,60,10,15,8,10,
Harpullia hillii,tree,1,1,compound,no,evergreen,765.4,,,20,50,150,20,60,8,12,7,8,6
Harpullia pendula,tree,0,1,compound,no,evergreen,734,734,661,25,55,105,20,40,8,10,6,8,
Harpullia ramiflora,tree,1,1,compound,no,evergreen,,734,661,9,60,400,25,85,10,14,7,9,
Harpullia rhyticarpa,shrub,1,1,compound,no,evergreen,,,661,6,35,290,15,90,12,14,7,9,
Jagera madida,tree,1,1,compound,no,evergreen,690,660,661,20,40,185,20,55,8,10,5,6,
Jagera pseudorhus-integerrima,tree,1,1,compound,no,evergreen,630,660,661,20,35,95,13,30,7,8,3,4,
Jagera pseudorhus-pseudorhus,tree,1,1,compound,no,evergreen,630,660,661,15,25,110,10,28,7,8,3,4,
Lepiderema hirsuta,tree,1,1,compound,no,evergreen,,770,661,10,40,195,15,40,6,7,3,4,
Lepiderema Impulse-Creek,tree,1,1,compound,no,evergreen,,,,8,30,75,15,30,8,10,5,6,
Lepiderema ixiocarpa,shrub,1,1,compound,no,evergreen,,770,661,7,35,85,10,35,10,12,4,5,
Lepiderema largiflorens,tree,0,1,compound,no,evergreen,,770,661,7,60,180,20,50,14,16,5,7,
Lepiderema pulchella,tree,1,0,compound,no,evergreen,,,,15,25,80,10,25,8,10,5,6,
Lepiderema punctulata,tree,1,0,compound,no,evergreen,,,,15,35,80,15,35,6,8,4,5,
Lepiderema sericolignis,tree,1,1,compound,no,evergreen,,770,661,10,50,200,20,60,9,10,5,6,4
Lepidopetalum fructoglabrum,tree,0,1,simple,no,evergreen,,770,661,13,45,180,20,60,10,15,9,13,
Lepisanthes rubiginosa,tree,1,1,compound,no,evergreen,,,,20,50,240,30,60,7,9,4,5,
Lepisanthes senegalensis,shrub,0,1,compound,no,evergreen,,,661,5,60,300,25,100,14,19,14,19,
Mischarytera lautereriana,tree,1,1,compound,no,evergreen,,,661,30,50,170,15,40,7,8,6,8,
Mischarytera macrobotrys,tree,1,1,compound,no,evergreen,,,661,10,70,210,30,70,8,9,10,12,
