Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes,longitude (deg),latitude (deg),site_name
Jacquemontia browniana,Convolvulaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Jasminum didymum,Oleaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Jasminum molle,Oleaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Juncus aridicola,Juncaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Juncus australis,Juncaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Juncus phaeanthus,Juncaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Juncus subsecundus,Juncaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Kennedia coccinea,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Kennedia prorepens,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Kennedia prostrata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Keraudrenia velutina,Malvaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Kunzea glabrescens,Myrtaceae,C3,NA,C3,TERN SIA,NA,NA,115.9023917,-32.34424722,site_at_-32.344_deg_lat_115.902_deg_long
Kunzea micrantha,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Kunzea muelleri,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Kunzea recurva,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lactuca serriola,Asteraceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lagenophora huegelii,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Lambertia formosa,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lathyrus tingitanus,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lawrencia repens,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Lawrencia squamata,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Laxmannia gracilis,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lechenaultia divaricata,Goodeniaceae,C3,NA,C3,TERN SIA,NA,NA,133.4679222,-24.12430278,site_at_-24.124_deg_lat_133.468_deg_long
Leiocarpa leptolepis,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.9480675,-31.84727889,site_at_-31.847_deg_lat_141.948_deg_long
Leiocarpa semicalva,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Leiocarpa tomentosa,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.52881,-31.88592167,site_at_-31.886_deg_lat_141.529_deg_long
Leiocarpa websteri,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Leontodon rhagadioloides,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.7411103,-31.07956667,site_at_-31.08_deg_lat_141.741_deg_long
Leontodon rhagadioloides,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,141.7411103,-31.07956667,site_at_-31.08_deg_lat_141.741_deg_long
Lepidium muelleri-ferdinandi,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lepidium oxytrichum,Brassicaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lepidium papillosum,Brassicaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Lepidium phlebopetalum,Brassicaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lepidium pseudohyssopifolium,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lepidobolus preissianus,Restionaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Lepidosperma carphoides,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lepidosperma laterale,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lepidosperma leptostachyum,Cyperaceae,C3,NA,C3,Bruhl and Wilson 2007,NA,NA,NA,NA,no site data
Lepidosperma lyonsii,Cyperaceae,U,C3,C3,Sage 2016 (and references therein); Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lepidosperma rigidulum,Cyperaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Lepidosperma sanguinolentum,Cyperaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Lepidosperma semiteres,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lepidosperma squamatum,Cyperaceae,C3,NA,C3,Bruhl and Wilson 2007,NA,NA,NA,NA,no site data
Lepidosperma viscidum,Cyperaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lepidosperma yonsii,Cyperaceae,U,C3,C3,Sage 2016 (and references therein); Bruhl and Wilson 2007,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Leptocarpus tenax,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Leptochloa digitata,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Leptochloa fusca,Poaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Leptomeria acida,Santalaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Leptomeria preissiana,Santalaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Leptomeria scrobiculata,Santalaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Leptospermum arachnoides,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Leptospermum continentale,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Leptospermum erubescens,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Leptospermum fastigiatum,Myrtaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Leptospermum incanum,Myrtaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Leptospermum myrsinoides,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Leptospermum polygalifolium,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Leptospermum spinescens,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Leptospermum trinervium,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lepyrodia cryptica,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Leucochrysum stipitatum,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,133.3271806,-24.16188056,site_at_-24.162_deg_lat_133.327_deg_long
Leucopogon affinis,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Leucopogon australis,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Leucopogon concurvus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Leucopogon cordatus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Leucopogon cucullatus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Leucopogon dielsianus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Leucopogon hamulosus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Leucopogon interstans,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Leucopogon microphyllus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Leucopogon obovatus,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Limonium lobatum,Plumbaginaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lindsaea linearis,Lindsaeaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lindsaea microphylla,Lindsaeaceae,U,C3,C3,Photosynthetic Pathway of other species in genus;Sage 2016 (and references therein),Photosynthetic Pathway of other species in genus,NA,NA,NA,no site data
Linum marginale,Linaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lipocarpha microcephala,Cyperaceae,C4,NA,C4,TRY,NA,NA,NA,NA,no site data
Livistona alfredii,Arecaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Livistona humilis,Arecaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Livistona inermis,Arecaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lobelia rhombifolia,Campanulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lobelia surrepens,Campanulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lolium rigidum,Poaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lomandra caespitosa,Asparagaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lomandra collina,Asparagaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lomandra cylindrica,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lomandra densiflora,Asparagaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Lomandra effusa,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lomandra fibrata,Asparagaceae,C3,NA,C3,TERN SIA,NA,NA,139.006103,-34.576925,site_at_-34.577_deg_lat_139.006_deg_long
Lomandra filiformis,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lomandra glauca,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lomandra leucocephala,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lomandra longifolia,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lomandra micrantha,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lomandra multiflora,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lomandra obliqua,Asparagaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lomandra sonderi,Asparagaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lomandra sororia,Asparagaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lomandra suaveolens,Asparagaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lomandra tropica,Asparagaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lomatia silaifolia,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lophostemon grandiflorus,Myrtaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lotus cruentus,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Loxocarya striata,Restionaceae,U,C3,C3,Sage 2016 (and references therein),No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lumnitzera racemosa,Combretaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Luzula acutifolia,Juncaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Luzula meridionalis,Juncaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Luzula modesta,Juncaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lycium australe,Solanaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lycium ferocissimum,Solanaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lycopodium fastigiatum,Lycopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lyginia imberbis,Anarthriaceae,U,C3,C3,Sage 2016 (and references therein);Ehleringer and Monson 1993,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lysiana casuarinae,Loranthaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lysiana exocarpi,Loranthaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lysiana linearifolia,Loranthaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lysiana spathulata,Loranthaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lysiana subfalcata,Loranthaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lysimachia arvensis,Primulaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lysinema pentapetalum,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage (family),NA,NA,NA,no site data
Lysiphyllum carronii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Lysiphyllum cunninghamii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Lysiphyllum gilvum,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Macropteranthes kekwickii,Combretaceae,C3,NA,C3,TERN SIA,NA,NA,133.2711583,-16.63024167,site_at_-16.63_deg_lat_133.271_deg_long
Macrozamia fraseri,Zamiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Macrozamia riedlei,Zamiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana aphylla,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana astrotricha,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana brevifolia,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana ciliata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana coronata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana dichoptera,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana eriantha,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana erioclada,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana georgei,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana integra,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana lanifolia,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage in Australia,NA,NA,NA,no site data
Maireana lanosa,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana lobiflora,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana oppositifolia,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana pentagona,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana pentatropis,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana planifolia,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage in Australia,NA,NA,NA,no site data
Maireana pyramidata,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana radiata,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana rohrlachii,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana scleroptera,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana sedifolia,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana spongiocarpa,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana thesioides,Chenopodiaceae,U,C3,C3,Photosynthetic Pathway of other species in genus; Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage in Australia,NA,NA,NA,no site data
Maireana tomentosa,Chenopodiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Maireana trichoptera,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana triptera,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana turbinata,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Maireana villosa,Chenopodiaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
